Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EZEQUIEL.txt, 35596, 3966, 13222.13337709912, 392, 706, 13.159915356711004, 6.491685144124168, 2583
O SEGUNDO LIVRO DAS CHRONICAS.txt, 24184, 3108, 11995.365282206725, 278, 534, 14.212045793927327, 6.464988364713349, 1816
SEGUNDA EPISTOLA UNIVERSAL DO APOSTOLO S. PEDRO.txt, 1382, 621, 37575.300479782534, 16, 34, 14.704918032786885, 6.535836177474403, 266
O LIVRO DOS JUIZES.txt, 17203, 2657, 12139.539239543561, 211, 427, 11.644759206798867, 6.45373048004627, 1534
NAHUM.txt, 1206, 528, 26697.11997745131, 12, 34, 11.679389312977099, 6.33587786259542, 228
PROVERBIOS DE SALOMÃO.txt, 14372, 2788, 19187.59599352848, 151, 323, 11.467477203647416, 7.329521086490351, 1851
JONAS.txt, 1238, 456, 16925.08975095238, 15, 42, 11.23134328358209, 6.275862068965517, 148
O PRIMEIRO LIVRO DE MOYSÉS CHAMADO GENESIS.txt, 35635, 4206, 10390.023563430907, 386, 673, 11.308232118758434, 6.268178694158076, 2838
APOCALYPSE DO APOSTOLO S. JOÃO.txt, 11289, 1884, 14646.502811251417, 150, 296, 12.05119735755574, 6.419171405361495, 959
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 8686, 1796, 17506.14668893243, 123, 223, 10.504094631483166, 5.9801324503311255, 1041
O SANCTO EVANGELHO SEGUNDO S. JOÃO.txt, 17080, 2478, 10959.218378112477, 239, 447, 9.321546052631579, 5.84968538802144, 1473
O PRIMEIRO LIVRO DE SAMUEL.txt, 23426, 3251, 10765.858247510469, 261, 487, 11.537037037037036, 6.426402361872627, 1999
HABACUC.txt, 1387, 590, 26043.76608584927, 14, 36, 11.551020408163266, 6.705454545454545, 233
LAMENTAÇÕES DE JEREMIAS.txt, 3203, 1060, 19173.01017670818, 41, 86, 8.597077244258873, 6.169127516778524, 513
O LIVRO DE ESTHER.txt, 5385, 1076, 18763.661696870033, 69, 145, 16.141752577319586, 7.0971184631803625, 483
JEREMIAS.txt, 38678, 4830, 14478.041817385318, 366, 694, 12.532767312284426, 6.145800698879383, 3338
ZACHARIAS.txt, 5788, 1341, 14793.496323221874, 80, 154, 11.936170212765957, 6.526011560693641, 597
JOEL.txt, 1850, 636, 18465.233779697846, 24, 52, 11.136363636363637, 6.011261261261262, 255
O SEGUNDO LIVRO DE SAMUEL.txt, 19100, 2958, 12096.997872307622, 224, 410, 11.726245505906522, 6.1818862275449105, 1733
