Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EZEQUIEL.txt, 35596, 3966, 13003.484778787122, 392, 706, 13.159915356711004, 6.491685144124168, 2541
O SEGUNDO LIVRO DAS CHRONICAS.txt, 24184, 3108, 11726.222084024723, 278, 534, 14.212045793927327, 6.464988364713349, 1781
SEGUNDA EPISTOLA UNIVERSAL DO APOSTOLO S. PEDRO.txt, 1382, 621, 36496.01212934723, 16, 34, 14.704918032786885, 6.535836177474403, 255
O LIVRO DOS JUIZES.txt, 17203, 2657, 11815.71441293489, 211, 427, 11.644759206798867, 6.45373048004627, 1488
NAHUM.txt, 1206, 528, 26253.11936819948, 12, 34, 11.679389312977099, 6.33587786259542, 225
PROVERBIOS DE SALOMÃO.txt, 14372, 2788, 18872.931210564682, 151, 323, 11.467477203647416, 7.329521086490351, 1817
JONAS.txt, 1238, 456, 16223.442338261935, 15, 42, 11.23134328358209, 6.275862068965517, 143
O PRIMEIRO LIVRO DE MOYSÉS CHAMADO GENESIS.txt, 35635, 4206, 10159.861161392064, 386, 673, 11.308232118758434, 6.268178694158076, 2779
APOCALYPSE DO APOSTOLO S. JOÃO.txt, 11289, 1884, 14196.300625223292, 150, 296, 12.05119735755574, 6.419171405361495, 913
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 8686, 1796, 17031.712108731026, 123, 223, 10.504094631483166, 5.9801324503311255, 1007
O SANCTO EVANGELHO SEGUNDO S. JOÃO.txt, 17080, 2478, 9175.798994683442, 239, 447, 9.321546052631579, 5.84968538802144, 1228
O PRIMEIRO LIVRO DE SAMUEL.txt, 23426, 3251, 10450.64321165593, 261, 487, 11.537037037037036, 6.426402361872627, 1930
HABACUC.txt, 1387, 590, 25501.61165728494, 14, 36, 11.551020408163266, 6.705454545454545, 232
LAMENTAÇÕES DE JEREMIAS.txt, 3203, 1060, 18850.627805990913, 41, 86, 8.597077244258873, 6.169127516778524, 505
O LIVRO DE ESTHER.txt, 5385, 1076, 18185.048058844295, 69, 145, 16.141752577319586, 7.0971184631803625, 470
JEREMIAS.txt, 38678, 4830, 14237.101844975601, 366, 694, 12.532767312284426, 6.145800698879383, 3261
ZACHARIAS.txt, 5788, 1341, 14336.276393426033, 80, 154, 11.936170212765957, 6.526011560693641, 578
JOEL.txt, 1850, 636, 18095.441854837354, 24, 52, 11.136363636363637, 6.011261261261262, 252
