Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words,Proportion Known
EZEQUIEL.txt, 35596, 3966, 4969.736420892122, 392, 706, 13.159915356711004, 6.491685144124168, 2396, 0.598438026744578
O SEGUNDO LIVRO DAS CHRONICAS.txt, 24184, 3108, 4508.591241473841, 278, 534, 14.212045793927327, 6.464988364713349, 1683, 0.5949388025140588
SEGUNDA EPISTOLA UNIVERSAL DO APOSTOLO S. PEDRO.txt, 1382, 621, 17405.041472344998, 16, 34, 14.704918032786885, 6.535836177474403, 243, 0.5094066570188133
O LIVRO DOS JUIZES.txt, 17203, 2657, 4789.625700852208, 211, 427, 11.644759206798867, 6.45373048004627, 1461, 0.5779224553856885
NAHUM.txt, 1206, 528, 11185.442114248199, 12, 34, 11.679389312977099, 6.33587786259542, 211, 0.554726368159204
PROVERBIOS DE SALOMÃO.txt, 14372, 2788, 7927.075344560541, 151, 323, 11.467477203647416, 7.329521086490351, 1749, 0.5648483161703312
JONAS.txt, 1238, 456, 6792.611615548266, 15, 42, 11.23134328358209, 6.275862068965517, 137, 0.5694668820678513
O PRIMEIRO LIVRO DE MOYSÉS CHAMADO GENESIS.txt, 35635, 4206, 4025.4262320851362, 386, 673, 11.308232118758434, 6.268178694158076, 2690, 0.5864178476217202
APOCALYPSE DO APOSTOLO S. JOÃO.txt, 11289, 1884, 5915.311924798976, 150, 296, 12.05119735755574, 6.419171405361495, 885, 0.5694038444503499
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 8686, 1796, 6999.78879202878, 123, 223, 10.504094631483166, 5.9801324503311255, 972, 0.5782868984572875
O SANCTO EVANGELHO SEGUNDO S. JOÃO.txt, 17080, 2478, 4898.584064576324, 239, 447, 9.321546052631579, 5.84968538802144, 1387, 0.5257611241217799
O PRIMEIRO LIVRO DE SAMUEL.txt, 23426, 3251, 4229.827014857002, 261, 487, 11.537037037037036, 6.426402361872627, 1875, 0.5782037052847264
HABACUC.txt, 1387, 590, 10445.795614783014, 14, 36, 11.551020408163266, 6.705454545454545, 221, 0.5746214852198991
LAMENTAÇÕES DE JEREMIAS.txt, 3203, 1060, 8141.424198748463, 41, 86, 8.597077244258873, 6.169127516778524, 480, 0.5519825163908836
O LIVRO DE ESTHER.txt, 5385, 1076, 7567.743412943431, 69, 145, 16.141752577319586, 7.0971184631803625, 448, 0.5680594243268338
JEREMIAS.txt, 38678, 4830, 5721.105573066218, 366, 694, 12.532767312284426, 6.145800698879383, 3138, 0.5830963338331868
ZACHARIAS.txt, 5788, 1341, 5436.874632109449, 80, 154, 11.936170212765957, 6.526011560693641, 551, 0.6033172080165861
JOEL.txt, 1850, 636, 6617.032228915673, 24, 52, 11.136363636363637, 6.011261261261262, 243, 0.6156756756756757
O SEGUNDO LIVRO DE SAMUEL.txt, 19100, 2958, 4946.854203778517, 224, 410, 11.726245505906522, 6.1818862275449105, 1635, 0.5624083769633508
O SEGUNDO LIVRO DOS REIS.txt, 21442, 2743, 3639.232572393282, 265, 479, 12.330735509011204, 6.065381205673759, 1406, 0.583947392967074
EPISTOLA DE S. PAULO AOS ROMANOS.txt, 8931, 1820, 6768.432532040248, 125, 237, 10.698214285714286, 6.157424812030075, 969, 0.5796663307580339
O SEGUNDO LIVRO DE MOYSÉS CHAMADO EXODO.txt, 29151, 3376, 3163.980458412802, 343, 644, 12.454513645906228, 6.653746322893234, 1879, 0.6306130149909094
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 5605, 1373, 10862.403132679698, 74, 161, 13.001798561151078, 6.27741935483871, 727, 0.5636039250669046
EPISTOLA DE S. PAULO APOSTOLO AOS GALATAS.txt, 2865, 881, 9680.041725958361, 39, 92, 11.33529411764706, 6.175257731958763, 398, 0.5490401396160558
ISAIAS.txt, 34275, 5588, 7960.378556957548, 329, 638, 12.078192875760209, 6.473337155963303, 3852, 0.5784099197665937
TERCEIRA EPISTOLA DO APOSTOLO S. JOÃO.txt, 281, 165, 12364.292963826525, 1, 8, 10.636363636363637, 6.079365079365079, 44, 0.498220640569395
O LIVRO DE ESDRAS.txt, 6764, 1457, 8609.114056717739, 88, 184, 14.800738007380074, 5.693484042553192, 710, 0.5693376700177409
EPISTOLA DE S. PAULO APOSTOLO A TITO.txt, 907, 439, 21005.192380138422, 8, 23, 12.4, 5.649789029535865, 198, 0.4796030871003308
OSEAS.txt, 4654, 1344, 6278.632762743557, 66, 111, 10.5, 6.135208711433757, 598, 0.5999140524280189
EPISTOLA DE S. PAULO APOSTOLO AOS EPHESIOS.txt, 2884, 848, 8705.703552707375, 44, 87, 13.112211221122113, 6.399700598802395, 357, 0.5721220527045769
LIVRO DO ECCLESIASTES  OU PRÉGADOR.txt, 5528, 1244, 6548.872356298534, 76, 161, 13.241035856573705, 7.540084388185654, 547, 0.587192474674385
