Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words,Proportion Known
EZEQUIEL.txt, 35596, 2591, 4035.767672891703, 672, 1214, 13.159915356711004, 6.491685144124168, 2172, 0.659399932576694
O SEGUNDO LIVRO DAS CHRONICAS.txt, 24184, 1867, 3376.3297422316364, 587, 1037, 14.212045793927327, 6.464988364713349, 1487, 0.6746195831955012
SEGUNDA EPISTOLA UNIVERSAL DO APOSTOLO S. PEDRO.txt, 1382, 311, 14807.878918800254, 392, 696, 14.704918032786885, 6.535836177474403, 228, 0.5680173661360347
O LIVRO DOS JUIZES.txt, 17203, 1432, 3280.0730305539314, 532, 953, 11.644759206798867, 6.45373048004627, 1212, 0.6822065918735104
NAHUM.txt, 1206, 242, 9279.430679566298, 389, 697, 11.679389312977099, 6.33587786259542, 192, 0.6111111111111112
PROVERBIOS DE SALOMÃO.txt, 14372, 1848, 6723.107083037236, 495, 925, 11.467477203647416, 7.329521086490351, 1586, 0.6146674088505427
JONAS.txt, 1238, 150, 4552.031862949943, 395, 693, 11.23134328358209, 6.275862068965517, 111, 0.6873990306946688
O PRIMEIRO LIVRO DE MOYSÉS CHAMADO GENESIS.txt, 35635, 0, 866.6086581962672, 673, 1271, 11.308232118758434, 6.268178694158076, 0, 0.7735933772976007
APOCALYPSE DO APOSTOLO S. JOÃO.txt, 11289, 1014, 4724.753925430474, 493, 863, 12.05119735755574, 6.419171405361495, 779, 0.6372575073079989
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 8686, 1109, 6026.690057336161, 457, 813, 10.504094631483166, 5.9801324503311255, 896, 0.6224959705272853
O SANCTO EVANGELHO SEGUNDO S. JOÃO.txt, 17080, 1462, 3630.5847595174514, 548, 959, 9.321546052631579, 5.84968538802144, 1204, 0.627927400468384
O PRIMEIRO LIVRO DE SAMUEL.txt, 23426, 1844, 2908.830309912219, 559, 990, 11.537037037037036, 6.426402361872627, 1554, 0.6822334158627167
HABACUC.txt, 1387, 267, 8851.948500224396, 393, 695, 11.551020408163266, 6.705454545454545, 196, 0.6222062004325883
LAMENTAÇÕES DE JEREMIAS.txt, 3203, 562, 6714.382005428126, 400, 730, 8.597077244258873, 6.169127516778524, 441, 0.6159850140493287
O LIVRO DE ESTHER.txt, 5385, 484, 5462.548244490869, 425, 770, 16.141752577319586, 7.0971184631803625, 382, 0.6638811513463324
JEREMIAS.txt, 38678, 3287, 4248.527701416258, 642, 1204, 12.532767312284426, 6.145800698879383, 2798, 0.6750607580536739
ZACHARIAS.txt, 5788, 656, 4199.906675991171, 423, 752, 11.936170212765957, 6.526011560693641, 491, 0.675535590877678
JOEL.txt, 1850, 262, 5643.276050701073, 401, 705, 11.136363636363637, 6.011261261261262, 213, 0.6497297297297298
O SEGUNDO LIVRO DE SAMUEL.txt, 19100, 1646, 3273.3426254421342, 529, 942, 11.726245505906522, 6.1818862275449105, 1354, 0.6846596858638744
O SEGUNDO LIVRO DOS REIS.txt, 21442, 1493, 2463.9122714886716, 567, 992, 12.330735509011204, 6.065381205673759, 1174, 0.6902807573920343
EPISTOLA DE S. PAULO AOS ROMANOS.txt, 8931, 1112, 5681.710219238123, 458, 804, 10.698214285714286, 6.157424812030075, 880, 0.6330758033814803
O SEGUNDO LIVRO DE MOYSÉS CHAMADO EXODO.txt, 29151, 1927, 2621.495085990605, 628, 1118, 12.454513645906228, 6.653746322893234, 1584, 0.6683475695516449
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 5605, 814, 8909.050337009285, 436, 755, 13.001798561151078, 6.27741935483871, 657, 0.6278322925958966
EPISTOLA DE S. PAULO APOSTOLO AOS GALATAS.txt, 2865, 452, 7877.041490268026, 412, 718, 11.33529411764706, 6.175257731958763, 347, 0.6153577661431064
ISAIAS.txt, 34275, 3989, 6583.610047175587, 619, 1164, 12.078192875760209, 6.473337155963303, 3464, 0.6365572574762947
TERCEIRA EPISTOLA DO APOSTOLO S. JOÃO.txt, 281, 59, 9060.74603355217, 387, 677, 10.636363636363637, 6.079365079365079, 39, 0.6156583629893239
