Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EZEQUIEL.txt, 35596, 3966, 77961.4467755501, 392, 706, 13.159915356711004, 6.491685144124168, 3307
O SEGUNDO LIVRO DAS CHRONICAS.txt, 24184, 3108, 77346.92949757839, 278, 534, 14.212045793927327, 6.464988364713349, 2536
SEGUNDA EPISTOLA UNIVERSAL DO APOSTOLO S. PEDRO.txt, 1382, 621, 167577.9859714594, 16, 34, 14.704918032786885, 6.535836177474403, 414
O LIVRO DOS JUIZES.txt, 17203, 2657, 74370.8417669426, 211, 427, 11.644759206798867, 6.45373048004627, 2123
NAHUM.txt, 1206, 528, 161462.09955144834, 12, 34, 11.679389312977099, 6.33587786259542, 366
PROVERBIOS DE SALOMÃO.txt, 14372, 2788, 97303.59077345769, 151, 323, 11.467477203647416, 7.329521086490351, 2241
JONAS.txt, 1238, 456, 91158.82108359787, 15, 42, 11.23134328358209, 6.275862068965517, 269
O PRIMEIRO LIVRO DE MOYSÉS CHAMADO GENESIS.txt, 35635, 4206, 54748.05212055824, 386, 673, 11.308232118758434, 6.268178694158076, 3527
APOCALYPSE DO APOSTOLO S. JOÃO.txt, 11289, 1884, 77279.47957132453, 150, 296, 12.05119735755574, 6.419171405361495, 1389
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS CORINTHIOS.txt, 8686, 1796, 77873.05060487488, 123, 223, 10.504094631483166, 5.9801324503311255, 1329
O SANCTO EVANGELHO SEGUNDO S. JOÃO.txt, 17080, 2478, 46223.31789972753, 239, 447, 9.321546052631579, 5.84968538802144, 1887
O PRIMEIRO LIVRO DE SAMUEL.txt, 23426, 3251, 62013.786684070474, 261, 487, 11.537037037037036, 6.426402361872627, 2604
HABACUC.txt, 1387, 590, 165990.47852290838, 14, 36, 11.551020408163266, 6.705454545454545, 400
LAMENTAÇÕES DE JEREMIAS.txt, 3203, 1060, 83318.73508346929, 41, 86, 8.597077244258873, 6.169127516778524, 763
O LIVRO DE ESTHER.txt, 5385, 1076, 105503.64350633576, 69, 145, 16.141752577319586, 7.0971184631803625, 742
JEREMIAS.txt, 38678, 4830, 73993.1062755615, 366, 694, 12.532767312284426, 6.145800698879383, 4134
ZACHARIAS.txt, 5788, 1341, 97608.54334599026, 80, 154, 11.936170212765957, 6.526011560693641, 981
JOEL.txt, 1850, 636, 132615.98248707247, 24, 52, 11.136363636363637, 6.011261261261262, 441
O SEGUNDO LIVRO DE SAMUEL.txt, 19100, 2958, 59779.180517127235, 224, 410, 11.726245505906522, 6.1818862275449105, 2327
