Word,Frequencies
e,1
a,2
o,3
de,4
que,5
os,6
E,7
do,8
para,9
Senhor,10
da,11
não,12
se,13
em,14
as,15
dos,16
com,17
ao,18
Deus,19
seu,20
sua,21
no,22
por,23
seus,24
é,25
como,26
um,27
na,28
sobre,29
terra,30
elle,31
filhos,32
disse,33
á,34
porque,35
rei,36
eu,37
aos,38
te,39
todos,40
meu,41
me,42
casa,43
pois,44
teu,45
filho,46
tambem,47
Então,48
povo,49
Israel,50
Porque,51
suas,52
tua,53
contra,54
nem,55
das,56
uma,57
até,58
vós,59
minha,60
vos,61
dia,62
elles,63
homem,64
mas,65
todo,66
O,67
será,68
mim,69
mais,70
lhe,71
nos,72
está,73
ti,74
dizendo,75
mão,76
David,77
toda,78
porém,79
tu,80
homens,81
assim,82
teus,83
A,84
diante,85
Jesus,86
são,87
foi,88
quando,89
diz,90
Não,91
entre,92
nome,93
todas,94
dias,95
pelo,96
quem,97
era,98
este,99
Christo,100
coração,101
Moysés,102
I,103
ou,104
Jerusalem,105
olhos,106
cidade,107
Judah,108
fez,109
ha,110
tinha,111
Assim,112
palavra,113
grande,114
pae,115
pela,116
Porém,117
Mas,118
segundo,119
já,120
foram,121
d’Israel,122
coisas,123
nas,124
lhes,125
meus,126
logar,127
d’elles,128
ella,129
mulher,130
nós,131
qual,132
cada,133
tudo,134
estava,135
ó,136
ainda,137
esta,138
Os,139
eis,140
d’elle,141
desde,142
meio,143
isto,144
ali,145
caminho,146
Egypto,147
tem,148
então,149
palavras,150
agora,151
aquelle,152
causa,153
bem,154
mesmo,155
Eis,156
irmãos,157
perante,158
paes,159
mãos,160
vossos,161
annos,162
havia,163
alma,164
depois,165
voz,166
mal,167
sou,168
sacerdote,169
vida,170
nosso,171
mil,172
estão,173
dois,174
fogo,175
tempo,176
lei,177
seja,178
estavam,179
veiu,180
vosso,181
tuas,182
cidades,183
servo,184
servos,185
estas,186
conforme,187
sangue,188
verdade,189
serão,190
deu,191
si,192
Tambem,193
porquanto,194
outro,195
porta,196
obra,197
ás,198
sete,199
bocca,200
tres,201
carne,202
estes,203
espada,204
Saul,205
tenho,206
Se,207
nações,208
Eu,209
outra,210
sacerdotes,211
gloria,212
céus,213
Jacob,214
Que,215
congregação,216
Antes,217
fazer,218
irmão,219
offerta,220
altar,221
isso,222
anno,223
justiça,224
mar,225
coisa,226
sem,227
quanto,228
cabeça,229
fóra,230
aguas,231
onde,232
sempre,233
disseram,234
oiro,235
antes,236
peccado,237
reino,238
principes,239
céu,240
outros,241
morte,242
muito,243
tomou,244
espirito,245
campo,246
alguma,247
deserto,248
pão,249
monte,250
aqui,251
Salomão,252
noite,253
reis,254
vossas,255
face,256
Filho,257
multidão,258
senhor,259
